title     ,image     ,description     ,price     
Ноутбук Acer Aspire A315-58G-72KY Intel Core i7-1165G7 12GB DDR4 1TB SSD NVIDIA MX350 FHD Pure Silver,https://www.kivano.kg/images/product/121169/1684228073_22408900.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i7-1165G7; оперативная память 12GB DDR4; накопитель 1TB SSD; видеокарта NVIDIA MX350; без операционной системы",60390 сом
Ноутбук HP Victus 15-FA1093DX Intel Core i5-13420H 48GB DDR4 512GB SSD NVIDIA RTX3050 FHD DOS Blue,https://www.kivano.kg/images/product/122961/1688019527_72475400.jpg,"15.6"" IPS 1920x1080~144Hz; процессор Intel Core i5-13420H; оперативная память 48GB DDR4; накопитель 512GB SSD; видеокарта NVIDIA RTX3050; операционная система DOS",93180 сом
Ноутбук Acer Extensa EX215-52-37SE Intel Core i3-1005G1 4GB DDR4 1000GB HDD FHD DOS Black,https://www.kivano.kg/images/product/87890/1611212016_67036200.jpg,"Операционная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1920x1080; объем оперативной памяти 4 Гб; накопитель HDD 1000 Гб; вес от 1.9 кг",34370 сом
Ноутбук Acer Aspire A315-58G-72KY Intel Core i7-1165G7 20GB DDR4 1TB SSD NVIDIA MX350 FHD Pure Silver,https://www.kivano.kg/images/product/121170/1684228077_88979800.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i7-1165G7; оперативная память 20GB DDR4; накопитель 1TB SSD; видеокарта NVIDIA MX350; без операционной системы",62020 сом
Ноутбук HP Victus 15-FA1093DX Intel Core i5-13420H 48GB DDR4 1000GB SSD NVIDIA RTX3050 FHD DOS Blue,https://www.kivano.kg/images/product/122962/1688019657_54708300.jpg,"15.6"" IPS 1920x1080~144Hz; процессор Intel Core i5-13420H; оперативная память 48GB DDR4; накопитель 1000GB SSD; видеокарта NVIDIA RTX3050; операционная система DOS",96360 сом
Ноутбук Lenovo IdeaPad 3 15IAU7 82RK00EKAK Intel Core i5-1235U 16GB DDR4 512GB SSD Intel Iris Graphics FHD DOS Arctic Grey,https://www.kivano.kg/images/product/121171/1684228109_62726500.png,"Диагональ экрана: 15,6"" 1920х1080; Операционная система: DOS; Процессор: Intel Core i5-1235U (10/12) 1300-4400 МГц; Объем памяти: 16GB DDR4 / 512GB SSD; Видеоконтроллер: Intel Iris Graphics; Вес: от 1.63 кг",47620 сом
Ноутбук Asus TUF Gaming FA507RC-HN007W AMD Ryzen 7 6800H 8GB DDR5 1TB SSD NVMe NVIDIA RTX3050 FHD IPS Backlit Mecha Gray,https://www.kivano.kg/images/product/122963/1688019695_19184700.jpg,"15.6"" IPS 1920x1080~144Hz; процессор AMD Ryzen 7 6800H; оперативная память 8GB DDR5; накопитель 1TB SSD NVMe; видеокарта NVIDIA RTX3050; без операционной системы",86740 сом
Ноутбук Lenovo IdeaPad 3 15IAU7 82RK00EKAK Intel Core i5-1235U 16GB DDR4 1000GB SSD Intel Iris Graphics FHD DOS Arctic Grey,https://www.kivano.kg/images/product/121172/1684228203_37761600.png,"Диагональ экрана: 15,6"" 1920х1080; Операционная система: DOS; Процессор: Intel Core i5-1235U (10/12) 1300-4400 МГц; Объем памяти: 16GB DDR4 / 1000GB SSD; Видеоконтроллер: Intel Iris Graphics; Вес: от 1.63 кг",50450 сом
Ноутбук HP Victus 15-FA1093DX Intel Core i5-13420H 64GB DDR4 256GB SSD NVIDIA RTX3050 FHD DOS Blue,https://www.kivano.kg/images/product/122964/1688019736_14848300.jpg,"15.6"" IPS 1920x1080~144Hz; процессор Intel Core i5-13420H; оперативная память 64GB DDR4; накопитель 256GB SSD; видеокарта NVIDIA RTX3050; операционная система DOS",96810 сом
Ноутбук Lenovo IdeaPad 3 15IAU7 82RK00EKAK Intel Core i5-1235U 16GB DDR4 1000GB HDD Intel Iris Graphics FHD DOS Arctic Grey,https://www.kivano.kg/images/product/121173/1684228298_47109400.png,"Диагональ экрана: 15,6"" 1920х1080; Операционная система: DOS; Процессор: Intel Core i5-1235U (10/12) 1300-4400 МГц; Объем памяти: 16GB DDR4 / 1000GB HDD; Видеоконтроллер: Intel Iris Graphics; Вес: от 1.63 кг",45810 сом
Ноутбук HP Victus 15-FA1093DX Intel Core i5-13420H 64GB DDR4 512GB SSD NVIDIA RTX3050 FHD DOS Blue,https://www.kivano.kg/images/product/122965/1688019817_06254900.jpg,"15.6"" IPS 1920x1080~144Hz; процессор Intel Core i5-13420H; оперативная память 64GB DDR4; накопитель 512GB SSD; видеокарта NVIDIA RTX3050; операционная система DOS",97730 сом
Ноутбук Lenovo L3 15IML05 Intel Pentium Gold 6405U 4GB DDR 1000GB HDD Nvidia MX130 2GB HD серебристый,https://www.kivano.kg/images/product/97878/1631787730_28677600.jpg,"Тип: ноутбук; Процессор: Intel Pentium Gold 6405U; Разрешение экрана: 1366х768 HD; Графический контроллер: Nvidia MX130; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 1000 Gb; Вес: от 2,2 кг",38950 сом
Ноутбук Acer Aspire A315-58G-72KY Intel Core i7-1165G7 8GB DDR4 1TB HDD NVIDIA MX350 FHD Pure Silver,https://www.kivano.kg/images/product/121174/1684228366_96596400.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i7-1165G7; оперативная память 8GB DDR4; накопитель 1TB HDD; видеокарта NVIDIA MX350; без операционной системы",53830 сом
Ноутбук Asus TUF Gaming FA507RC-HN007W AMD Ryzen 7 6800H 16GB DDR5 1TB SSD NVMe NVIDIA RTX3050 FHD IPS Backlit Mecha Gray,https://www.kivano.kg/images/product/122966/1688019863_33794600.jpg,"15.6"" IPS 1920x1080~144Hz; процессор AMD Ryzen 7 6800H; оперативная память 16GB DDR5; накопитель 1TB SSD NVMe; видеокарта NVIDIA RTX3050; без операционной системы",89470 сом
Ноутбук Acer Aspire A315-58G-72KY Intel Core i7-1165G7 12GB DDR4 1TB HDD NVIDIA MX350 FHD Pure Silver,https://www.kivano.kg/images/product/121175/1684228370_69863100.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i7-1165G7; оперативная память 12GB DDR4; накопитель 1TB HDD; видеокарта NVIDIA MX350; без операционной системы",54930 сом
Ноутбук HP Victus 15-FA1093DX Intel Core i5-13420H 64GB DDR4 1000GB SSD NVIDIA RTX3050 FHD DOS Blue,https://www.kivano.kg/images/product/122967/1688019889_29418000.jpg,"15.6"" IPS 1920x1080~144Hz; процессор Intel Core i5-13420H; оперативная память 64GB DDR4; накопитель 1000GB SSD; видеокарта NVIDIA RTX3050; операционная система DOS",100890 сом
Ноутбук Acer Aspire A315-58G-72KY Intel Core i7-1165G7 20GB DDR4 1TB HDD NVIDIA MX350 FHD Pure Silver,https://www.kivano.kg/images/product/121176/1684228376_01435200.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i7-1165G7; оперативная память 20GB DDR4; накопитель 1TB HDD; видеокарта NVIDIA MX350; без операционной системы",56570 сом
